(('W', 'W', 'W', 'W', 'E', 'E', 'W', 'E', 'O'), 0): [-9.390108149000396, -1.885307839405676, -9.936800526388632, -1.8855953639815772]
(('W', 'E', 'E', 'W', 'E', 'O', 'W', 'E', 'O'), 0): [-1.8190973993475477, -1.813742928410474, -9.409231395113277, -9.18148656952042]
(('W', 'W', 'W', 'E', 'E', 'E', 'E', 'O', 'O'), 0): [-9.039045575207483, -9.48645427042144, -1.8709634638486945, -1.871048776681392]
(('W', 'W', 'W', 'E', 'E', 'E', 'O', 'O', 'O'), 0): [-8.88255381832521, -8.971854021712844, -1.8558699133355383, -1.8552121305224152]
(('W', 'E', 'O', 'W', 'E', 'O', 'W', 'E', 'E'), 0): [-1.6929400771471574, -1.6680901059132582, -8.86944454998339, -9.009145863630696]
(('W', 'E', 'O', 'W', 'E', 'E', 'W', 'E', 'E'), 0): [-1.5227644101708133, -1.3352186008639448, -8.010538445120584, -1.4763456040258345]
(('W', 'E', 'E', 'W', 'E', 'E', 'W', 'E', 'E'), 0): [-1.457899055631084, -0.643413081355001, -10.184552552924407, -1.6258591187543303]
(('E', 'O', 'E', 'E', 'E', 'E', 'E', 'E', 'E'), 0): [-7.020811375663087, -1.4286596179077957, -1.4256617403301295, -1.418599873698351]
(('E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'), 0): [-1.8633972000398296, -1.885445112002494, -1.870200953716504, -1.8817166872038227]
(('E', 'E', 'O', 'E', 'E', 'E', 'E', 'E', 'E'), 0): [-1.2775516578818042, -1.294103960622301, -1.2970649659147224, -1.275928679209111]
(('O', 'E', 'O', 'E', 'E', 'O', 'E', 'E', 'E'), 0): [-1.1969638002691732, -1.1988654861546948, -1.2009549425950654, -4.9618959491948385]
