(('W', 'W', 'W', 'W', 'E', 'E', 'W', 'E', 'O'), 0): [-10.99742354063701, -1.9964571221423244, -10.99782959237342, -1.9986709852736646]
(('W', 'W', 'W', 'E', 'E', 'E', 'E', 'O', 'O'), 0): [-10.997679925479918, -10.99818622597279, -1.998332246361651, -1.9983733686918146]
(('W', 'E', 'E', 'W', 'E', 'O', 'W', 'E', 'O'), 0): [-1.9981550042737233, -1.986810345267061, -10.996577670508405, -10.994155990237887]
(('W', 'E', 'O', 'W', 'E', 'O', 'W', 'E', 'E'), 0): [-1.9970274102184637, -1.95684637002757, -10.991012310872968, -10.983697972564688]
(('W', 'E', 'O', 'W', 'E', 'E', 'W', 'E', 'E'), 0): [-1.9960970686193922, -1.9263823521165846, -10.968315523450839, -1.9757229377549508]
(('W', 'W', 'W', 'E', 'E', 'E', 'O', 'O', 'O'), 0): [-10.997484646204999, -10.999127941473304, -1.9980236527471593, -1.99869395651998]
(('W', 'W', 'W', 'E', 'E', 'E', 'O', 'O', 'E'), 0): [-10.998381731011506, -10.998774600365692, -1.999022103882424, -1.9958633875818652]
(('W', 'W', 'W', 'E', 'E', 'E', 'O', 'E', 'E'), 0): [-10.989599278335923, -1.994302355026353, -1.9987029146812707, -1.9955964345448884]
(('E', 'E', 'E', 'O', 'E', 'E', 'O', 'E', 'E'), 0): [-1.995156488376091, -1.9931231276896337, -10.996901138788495, -1.9916154744869652]
(('W', 'E', 'E', 'W', 'E', 'E', 'W', 'E', 'E'), 0): [-1.9640955580293742, -1.9340497593009485, -10.936576791703965, -1.896335463303306]
(('E', 'O', 'E', 'E', 'E', 'E', 'E', 'E', 'E'), 0): [-10.978953604872018, -1.9955817781622116, -1.9577480315922653, -1.9943458011673314]
