(('W', 'W', 'W', 'W', 'E', 'E', 'W', 'E', 'O'), 0): [-1.9982514425351092, -1.9625984975819826, -1.9982514425351092, -1.962500830340562]
(('W', 'E', 'E', 'W', 'E', 'O', 'W', 'E', 'O'), 0): [-1.9550008811234583, -1.9550344530797108, -1.9982514425351092, -1.9982514425351092]
(('W', 'W', 'W', 'E', 'E', 'E', 'E', 'O', 'O'), 0): [-1.9982514425351092, -1.9982514425351092, -1.9554141721720102, -1.9551876083034627]
(('W', 'E', 'O', 'W', 'E', 'O', 'W', 'E', 'E'), 0): [-1.945400018708959, -1.9455193446377221, -1.9982514425351092, -1.9982514425351092]
(('W', 'W', 'W', 'E', 'E', 'E', 'O', 'O', 'O'), 0): [-1.9982514425351092, -1.9982514425351092, -1.946652639342939, -1.9467103642660548]
(('W', 'W', 'W', 'E', 'E', 'E', 'O', 'O', 'E'), 0): [-1.9982514425351092, -1.9982514425351092, -1.9367024468915635, -1.9368290630229834]
(('W', 'W', 'W', 'E', 'E', 'E', 'O', 'E', 'E'), 0): [-1.9982514425351092, -1.925312454864849, -1.925096424114028, -1.9252765107778484]
(('E', 'E', 'E', 'O', 'E', 'E', 'O', 'E', 'E'), 0): [-1.9082264052606466, -1.9085658840329762, -1.9982514425351092, -1.9082430477938355]
(('W', 'W', 'W', 'E', 'E', 'E', 'E', 'E', 'E'), 0): [-1.9982514425351092, -1.956842907229264, -1.9565634664811293, -1.9567601820469953]
(('E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'), 0): [-1.9625479209478542, -1.9624964962029847, -1.8998514157403006, -1.9624289893721305]
(('O', 'E', 'E', 'O', 'E', 'E', 'O', 'E', 'E'), 0): [-1.8916061872104324, -1.8916227785857538, -1.9077903945076475, -1.8914805276689186]
