(('W', 'W', 'W', 'W', 'E', 'E', 'W', 'E', 'O'), 0): [-99.91257212675546, -97.44647873294517, -99.91257212675546, -97.4486737347319]
(('W', 'E', 'E', 'W', 'E', 'O', 'W', 'E', 'O'), 0): [-97.44278435001621, -97.4425184384983, -99.91257212675546, -99.91257212675546]
(('W', 'W', 'W', 'E', 'E', 'E', 'E', 'O', 'O'), 0): [-99.91257212675546, -99.91257212675546, -97.4555145954987, -97.44813875499443]
(('W', 'E', 'O', 'W', 'E', 'O', 'W', 'E', 'E'), 0): [-97.43767585415966, -97.43884027582817, -99.91257212675546, -99.91257212675546]
(('W', 'W', 'W', 'E', 'E', 'E', 'O', 'O', 'O'), 0): [-99.91257212675546, -99.91257212675546, -97.45717523437912, -97.4481183073178]
(('W', 'W', 'W', 'E', 'E', 'E', 'O', 'O', 'E'), 0): [-99.91257212675546, -99.91257212675546, -97.45602322060753, -97.44905644130331]
(('W', 'W', 'W', 'E', 'E', 'E', 'O', 'E', 'E'), 0): [-99.91257212675546, -97.45656031861569, -97.45570121428199, -97.4495903808384]
(('E', 'E', 'E', 'O', 'E', 'E', 'O', 'E', 'E'), 0): [-97.46268423557594, -97.45725523939933, -99.91257212675546, -97.4643950787231]
(('W', 'W', 'W', 'E', 'E', 'E', 'E', 'E', 'E'), 0): [-99.91257212675546, -97.47595992519283, -97.46720272491157, -97.46227898976846]
(('E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'), 0): [-97.66048115053934, -97.66678731019279, -97.50691636966471, -97.66871258724512]
(('O', 'E', 'E', 'O', 'E', 'E', 'O', 'E', 'E'), 0): [-97.46952022716616, -97.46645818848589, -99.91257212675546, -97.47090645929384]
