(('W', 'W', 'W', 'W', 'E', 'E', 'W', 'E', 'O'), 0): [-108.9999999746997, -99.9999999750999, -108.99999997453497, -99.99999997511247]
(('W', 'W', 'W', 'E', 'E', 'E', 'E', 'O', 'O'), 0): [-108.99999997477839, -108.99999997504565, -99.99999997513014, -99.99999997514882]
(('W', 'W', 'W', 'E', 'E', 'E', 'O', 'O', 'O'), 0): [-108.99999997493735, -108.99999997513225, -99.99999997518492, -99.99999997514828]
(('W', 'W', 'W', 'E', 'E', 'E', 'O', 'O', 'E'), 0): [-108.99999997460841, -108.99999997459659, -99.99999997518287, -99.99999997509519]
(('W', 'E', 'E', 'W', 'E', 'O', 'W', 'E', 'O'), 0): [-99.99999997513645, -99.99999997505611, -108.99999997351071, -108.99999997403384]
(('W', 'E', 'O', 'W', 'E', 'O', 'W', 'E', 'E'), 0): [-99.99999997499529, -99.99999997509065, -108.99999997429724, -108.9999999748971]
(('W', 'W', 'W', 'E', 'E', 'E', 'O', 'E', 'E'), 0): [-108.99999997490593, -99.99999997512953, -99.99999997512658, -99.99999997543725]
(('E', 'E', 'E', 'O', 'E', 'E', 'O', 'E', 'E'), 0): [-99.99999997515276, -99.9999999751727, -108.99999997475419, -99.99999997517757]
(('W', 'W', 'W', 'E', 'E', 'E', 'E', 'E', 'E'), 0): [-108.99999997527314, -99.99999997535323, -99.9999999752873, -99.9999999754119]
(('O', 'E', 'E', 'O', 'E', 'E', 'O', 'E', 'E'), 0): [-99.99999997519333, -99.99999997526726, -108.99999997421722, -99.99999997517826]
(('E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'), 0): [-99.99999997544256, -99.99999997535694, -99.99999997528946, -99.9999999754267]
