(('W', 'W', 'W', 'W', 'E', 'E', 'W', 'E', 'O'), 0): [-12.093591379572112, -5.018763164112747, -12.364219656202657, -5.014317340569929]
(('W', 'E', 'E', 'W', 'E', 'O', 'W', 'E', 'O'), 0): [-4.6429047494572515, -4.629344768855473, -10.221543695675159, -10.421958876112395]
(('W', 'W', 'W', 'E', 'E', 'E', 'E', 'O', 'O'), 0): [-10.408652354074508, -10.829071785947407, -4.836649339619525, -4.821410932685191]
(('W', 'W', 'W', 'E', 'E', 'E', 'O', 'O', 'O'), 0): [-10.227125424290726, -10.057361183418239, -4.6292362876774735, -4.634147623966277]
(('W', 'W', 'W', 'E', 'E', 'E', 'O', 'O', 'E'), 0): [-9.923722698935508, -10.229485747136732, -4.434459435478207, -4.441722811644648]
(('W', 'W', 'W', 'E', 'E', 'E', 'O', 'E', 'E'), 0): [-9.904065361974222, -4.233275990700072, -4.235533896805844, -4.25636428432372]
(('E', 'E', 'E', 'O', 'E', 'E', 'O', 'E', 'E'), 0): [-4.1775471725426865, -4.182334042624911, -9.486816975291337, -4.214029799506112]
(('W', 'E', 'O', 'W', 'E', 'O', 'W', 'E', 'E'), 0): [-4.299404352894696, -4.262506383795428, -9.793664772196857, -10.796080275296402]
(('W', 'E', 'O', 'W', 'E', 'E', 'W', 'E', 'E'), 0): [-3.96876382733301, -3.971810018481827, -10.539092852722513, -3.9793469773997714]
(('W', 'E', 'E', 'W', 'E', 'E', 'W', 'E', 'E'), 0): [-4.683973368209134, -4.667792941044344, -12.812765687810181, -4.6349821003783624]
(('E', 'O', 'E', 'E', 'E', 'E', 'E', 'E', 'E'), 0): [-10.201115246489985, -4.269922917433315, -3.8180555515717587, -3.814094275472963]
