(('W', 'W', 'W', 'W', 'E', 'E', 'W', 'E', 'O'), 0): [-96.70889409067621, -88.22761711956471, -96.68469623107865, -88.20986591901652]
(('W', 'E', 'E', 'W', 'E', 'O', 'W', 'E', 'O'), 0): [-88.23189040873186, -88.19882769319364, -97.02318450930389, -96.30137588323305]
(('W', 'E', 'O', 'W', 'E', 'O', 'W', 'E', 'E'), 0): [-88.22670284118013, -88.24133879679357, -97.09436675731959, -96.96822242715871]
(('W', 'W', 'W', 'E', 'E', 'E', 'E', 'O', 'O'), 0): [-96.83145948600762, -96.7454076109124, -88.18702872512651, -88.1740135354018]
(('W', 'W', 'W', 'E', 'E', 'E', 'O', 'O', 'O'), 0): [-96.67370384846876, -96.8978681378411, -88.221601768705, -88.0840317101395]
(('W', 'W', 'W', 'E', 'E', 'E', 'O', 'O', 'E'), 0): [-96.96071220861259, -96.94700432484353, -88.15220618521715, -88.05297095511588]
(('W', 'W', 'W', 'E', 'E', 'E', 'O', 'E', 'E'), 0): [-96.78421675221745, -88.05351858245376, -88.0353532336345, -88.13629597213587]
(('E', 'E', 'E', 'O', 'E', 'E', 'O', 'E', 'E'), 0): [-88.01986762111831, -88.0167275989122, -96.80517203255457, -88.18459080938057]
(('O', 'E', 'E', 'O', 'E', 'E', 'O', 'E', 'E'), 0): [-88.01039186218398, -88.037527997811, -97.05319664323584, -88.18413316389649]
(('W', 'W', 'W', 'E', 'E', 'E', 'E', 'E', 'E'), 0): [-97.23433947652097, -88.33452425811547, -88.34106730239655, -88.29230492951946]
(('E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'), 0): [-88.2486832461515, -88.1519594428035, -88.2730772622379, -88.30297816047556]
