(('W', 'W', 'W', 'W', 'E', 'E', 'W', 'E', 'O'), 0): [-2.088260185322434, -1.9983936392299313, -2.088260185322434, -1.9983930457044818]
(('W', 'E', 'E', 'W', 'E', 'O', 'W', 'E', 'O'), 0): [-1.997017117401013, -1.9970041750437213, -1.9982514425351092, -1.9982514425351092]
(('W', 'W', 'W', 'E', 'E', 'E', 'E', 'O', 'O'), 0): [-1.9982514425351092, -1.9982514425351092, -1.9973832265249318, -1.9973752630025894]
(('W', 'E', 'O', 'W', 'E', 'O', 'W', 'E', 'E'), 0): [-1.9943057894089185, -1.9942615640810348, -1.9982514425351092, -1.9982514425351092]
(('W', 'W', 'W', 'E', 'E', 'E', 'O', 'O', 'O'), 0): [-1.9982514425351092, -1.9982514425351092, -1.995599760393054, -1.995599173167273]
(('W', 'W', 'W', 'E', 'E', 'E', 'O', 'O', 'E'), 0): [-1.9982514425351092, -1.9982514425351092, -1.9922787879853951, -1.9922646189926085]
(('W', 'W', 'W', 'E', 'E', 'E', 'O', 'E', 'E'), 0): [-1.9982514425351092, -1.9850415111362252, -1.9859649855778665, -1.9859268117913496]
(('E', 'E', 'E', 'O', 'E', 'E', 'O', 'E', 'E'), 0): [-1.9779569072756638, -1.9779645369868126, -1.9982514425351092, -1.9700592627708096]
(('W', 'W', 'W', 'E', 'E', 'E', 'E', 'E', 'E'), 0): [-1.9982514425351092, -1.9813457759228867, -1.986594083642546, -1.9865818498620276]
(('E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'), 0): [-1.9916811741204536, -1.968084514842069, -1.9916971040366513, -1.9916815976701079]
(('O', 'E', 'E', 'O', 'E', 'E', 'O', 'E', 'E'), 0): [-1.9765984344855048, -1.9765871519630265, -1.9982514425351092, -1.9765242455676517]
