(('W', 'W', 'W', 'W', 'E', 'E', 'W', 'E', 'O'), 0): [-10.95974670856238, -1.919439967346652, -10.959769769619927, -1.9801001634632802]
(('W', 'W', 'W', 'E', 'E', 'E', 'E', 'O', 'O'), 0): [-10.924436370860711, -10.927309742258416, -1.9597607146635359, -1.986389700621597]
(('W', 'E', 'E', 'W', 'E', 'O', 'W', 'E', 'O'), 0): [-1.9597735699188328, -1.838832492726878, -10.919549654170245, -10.919528873996132]
(('W', 'W', 'W', 'E', 'E', 'E', 'O', 'O', 'O'), 0): [-10.644544699096313, -10.526579141070593, -1.9802027448854014, -1.984852381310279]
(('W', 'W', 'W', 'E', 'E', 'E', 'O', 'O', 'E'), 0): [-10.659577796801639, -10.744381226478806, -1.9887875685781038, -1.9888244209789065]
(('W', 'W', 'W', 'E', 'E', 'E', 'O', 'E', 'E'), 0): [-10.961028592492127, -1.9893556514666404, -1.9925833154219954, -1.9908724402758906]
(('E', 'E', 'E', 'O', 'E', 'E', 'O', 'E', 'E'), 0): [-1.9951043930836474, -1.989513551746522, -10.989283606606563, -1.9800618660459146]
(('W', 'W', 'W', 'E', 'E', 'E', 'E', 'E', 'E'), 0): [-10.990038341065793, -1.9774282212997494, -1.9928815092397114, -1.9914913256844957]
(('E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'), 0): [-1.9796972498387144, -1.9636834875932097, -1.976126806346908, -1.9810061845694165]
(('O', 'E', 'E', 'O', 'E', 'E', 'O', 'E', 'E'), 0): [-1.989340188259865, -1.9949713074349178, -10.989012877809172, -1.9799703594419285]
(('E', 'E', 'D', 'E', 'E', 'E', 'E', 'E', 'E'), 0): [-1.9931894967684023, -1.9745042335852636, -1.9762539987898244, -1.9935516523847472]
