(('W', 'W', 'W', 'W', 'E', 'E', 'W', 'E', 'O'), 0): [-10.989635304832813, -1.9922684205000323, -10.965122458008004, -1.9961702842692772]
(('W', 'E', 'E', 'W', 'E', 'O', 'W', 'E', 'O'), 0): [-1.9873285897030113, -1.9608162809591017, -10.982060160084917, -10.952080757909105]
(('W', 'E', 'O', 'W', 'E', 'O', 'W', 'E', 'E'), 0): [-1.9822919744075282, -1.7541289045411146, -10.92026246680924, -10.930489116363217]
(('W', 'E', 'O', 'W', 'E', 'E', 'W', 'E', 'E'), 0): [-1.9698940822094286, -1.1481430186779678, -10.681724200694537, -1.958463733619573]
(('E', 'O', 'E', 'E', 'E', 'E', 'E', 'E', 'E'), 0): [-10.949097098231977, -1.9578816503308882, -1.9585629412881316, -1.9664389318035222]
(('W', 'E', 'E', 'W', 'E', 'E', 'W', 'E', 'E'), 0): [-1.615204192226308, 0.16424821161216596, -10.490802002009287, -1.8381564270870763]
(('E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'), 0): [-1.9882488727911163, -1.9894689107142582, -1.9940083121203318, -1.9899395576321264]
(('O', 'E', 'O', 'E', 'E', 'O', 'E', 'E', 'E'), 0): [-1.9880068593573887, -1.983130561310895, -1.9590068739340771, -10.980168960376554]
(('E', 'E', 'O', 'E', 'E', 'E', 'E', 'E', 'E'), 0): [-1.985346769817048, -1.9882325575299733, -1.9325401373548823, -1.9923527419418627]
(('E', 'O', 'E', 'E', 'E', 'O', 'E', 'E', 'E'), 0): [-10.989829407659833, -1.9894351489204873, -1.9892183515115456, -10.984769255235037]
(('E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'O'), 0): [-1.923108044294982, -1.1246702985253638, -1.7935109227476609, -1.781153459760124]
