(('W', 'W', 'W', 'W', 'E', 'E', 'W', 'E', 'O'), 0): [-6.081735937873935, -5.9880548993623055, -6.081735937873935, -5.991633186788493]
(('W', 'E', 'E', 'W', 'E', 'O', 'W', 'E', 'O'), 0): [-5.341590276146297, -5.34194194121119, -5.385714772406498, -5.385714772406498]
(('W', 'W', 'W', 'E', 'E', 'E', 'E', 'O', 'O'), 0): [-5.982334171291064, -5.982334171291064, -5.897593302325053, -5.890485714045239]
(('W', 'E', 'O', 'W', 'E', 'O', 'W', 'E', 'E'), 0): [-4.660531427072974, -4.6562079517397, -4.689206197178828, -4.689206197178828]
(('W', 'W', 'W', 'E', 'E', 'E', 'O', 'O', 'O'), 0): [-5.882922463537418, -5.882922463537418, -5.795848717665111, -5.786044119004396]
(('W', 'W', 'W', 'E', 'E', 'E', 'O', 'O', 'E'), 0): [-5.684069220540834, -5.684069220540834, -5.690883641189483, -5.688856458378186]
(('W', 'W', 'W', 'E', 'E', 'E', 'O', 'E', 'E'), 0): [-5.584627683309164, -5.585991738430169, -5.593330377043844, -5.583603330080114]
(('E', 'E', 'E', 'O', 'E', 'E', 'O', 'E', 'E'), 0): [-5.699214431115572, -5.702558817430025, -5.7835008136187795, -5.69578006879373]
(('W', 'W', 'W', 'E', 'E', 'E', 'E', 'E', 'E'), 0): [-6.081735937873935, -6.019561234967093, -6.021760388467448, -6.0170163851523375]
(('E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'), 0): [-6.760223492262009, -5.730171556909362, -6.765902939547562, -6.766357381603248]
(('O', 'E', 'E', 'O', 'E', 'E', 'O', 'E', 'E'), 0): [-5.5640695511936835, -5.562031909467583, -5.584627683309164, -5.570866228152175]
