(('W', 'W', 'W', 'W', 'E', 'E', 'W', 'E', 'O'), 0): [-104.41300926612169, -99.99999999999778, -104.41300926612169, -99.99999999999778]
(('W', 'E', 'E', 'W', 'E', 'O', 'W', 'E', 'O'), 0): [-99.99999999999778, -99.99999999999778, -104.41300926612169, -104.41300926612169]
(('W', 'W', 'W', 'E', 'E', 'E', 'E', 'O', 'O'), 0): [-104.41300926612169, -104.41300926612169, -99.99999999999778, -99.99999999999777]
(('W', 'E', 'O', 'W', 'E', 'O', 'W', 'E', 'E'), 0): [-99.99999999999778, -99.99999999999777, -104.41300926612169, -104.41300926612169]
(('W', 'W', 'W', 'E', 'E', 'E', 'O', 'O', 'O'), 0): [-104.41300926612169, -104.41300926612169, -99.99999999999778, -99.99999999999775]
(('W', 'W', 'W', 'E', 'E', 'E', 'O', 'O', 'E'), 0): [-104.41300926612169, -104.41300926612169, -99.99999999999774, -99.99999999999774]
(('W', 'W', 'W', 'E', 'E', 'E', 'O', 'E', 'E'), 0): [-104.41300926612169, -99.99999999999773, -99.99999999999773, -99.99999999999774]
(('E', 'E', 'E', 'O', 'E', 'E', 'O', 'E', 'E'), 0): [-99.99999999999773, -99.99999999999773, -104.41300926612169, -99.99999999999775]
(('W', 'W', 'W', 'E', 'E', 'E', 'E', 'E', 'E'), 0): [-104.41300926612169, -99.99999999999778, -99.99999999999778, -99.99999999999778]
(('E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'), 0): [-99.99999999999778, -99.99999999999778, -99.99999999999778, -99.99999999999778]
(('O', 'E', 'E', 'O', 'E', 'E', 'O', 'E', 'E'), 0): [-99.99999999999773, -99.9999999999977, -104.41300926612169, -99.99999999999773]
