(('W', 'W', 'W', 'W', 'E', 'E', 'W', 'E', 'O'), 0): [-50.928286299418666, -42.66463880046512, -50.8336924872408, -42.66195866296904]
(('W', 'E', 'E', 'W', 'E', 'O', 'W', 'E', 'O'), 0): [-42.52799859306269, -42.52716546955819, -50.32331811634468, -50.403923288369235]
(('W', 'W', 'W', 'E', 'E', 'E', 'E', 'O', 'O'), 0): [-50.53655258486026, -50.260805371238476, -42.577249914439186, -42.57897010863215]
(('W', 'E', 'O', 'W', 'E', 'O', 'W', 'E', 'E'), 0): [-42.39485834189851, -42.38229516184623, -50.10428083332079, -50.38807877745617]
(('W', 'E', 'O', 'W', 'E', 'E', 'W', 'E', 'E'), 0): [-42.24315161525706, -42.25453234615323, -50.1759793463416, -42.24501653010287]
(('W', 'E', 'E', 'W', 'E', 'E', 'W', 'E', 'E'), 0): [-42.694131226385785, -42.68000262459078, -51.58703608185055, -42.65511651468642]
(('E', 'O', 'E', 'E', 'E', 'E', 'E', 'E', 'E'), 0): [-50.47120596139015, -42.38262841644726, -42.13841940999531, -42.13890927698702]
(('E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'), 0): [-43.00511927853268, -42.89096302262283, -42.87369131414111, -43.051414398627614]
(('E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'O'), 0): [-41.86509729967747, -41.58081500054168, -41.64702018997423, -41.58563016255174]
(('E', 'E', 'O', 'E', 'E', 'E', 'E', 'E', 'E'), 0): [-42.0948754529642, -42.10257956522218, -42.294970054231186, -42.079859385507774]
(('O', 'E', 'O', 'E', 'E', 'O', 'E', 'E', 'E'), 0): [-42.02758274149489, -42.0304106723633, -42.0269916646887, -49.977381067836006]
